zero,1,5640,12.897379578813675
calibrate,1,5800,17.132705565671756
serial,1,13088,18.877400951049026
libfork.*_coalloc_.*lazy.*fan,1,13764,78.92680153154566
libfork.*_coalloc_.*lazy.*fan,2,18180,93.87140139573926
libfork.*_coalloc_.*lazy.*fan,4,24040,162.4315240339756
libfork.*_coalloc_.*lazy.*fan,8,27808,505.7930011378172
libfork.*_coalloc_.*lazy.*fan,16,34108,412.7166582535771
libfork.*_coalloc_.*lazy.*fan,24,37672,245.9938210606112
libfork.*_coalloc_.*lazy.*fan,32,41480,481.7152685975398
tmc,1,24308,75.40397867486834
tmc,2,25784,13.350655414622908
tmc,4,28844,553.7378441103696
tmc,8,32060,421.3870429901707
tmc,16,37308,249.73714181114508
tmc,24,40156,849.6800338951127
tmc,32,44672,750.0308260331703
ccpp,1,34072,32.95087252259035
ccpp,2,34528,152.8104708454234
ccpp,4,37176,710.995921225994
ccpp,8,42388,994.2501898415711
ccpp,16,50804,757.6802491816716
ccpp,24,58620,446.85317499151773
ccpp,32,61080,1029.7891046228833
omp,1,34196,30.1091348264941
omp,2,39032,658.8336360569335
omp,4,55628,2901.1468077296604
omp,8,90964,2558.994052357293
omp,16,181624,5777.879527992946
omp,24,248596,9436.663512068235
omp,32,304916,10559.626766131461
tbb,1,42932,63.917446757516835
tbb,2,46904,38.42082768499398
tbb,4,53812,599.1588770935468
tbb,8,85804,879.4531027860438
tbb,16,143340,1351.9499399016222
tbb,24,204840,1426.544356127772
tbb,32,258180,2143.0830128578777
